deal_id,sales_rep_id,product_id,amount,stage,date
49,5,2,26586.0,Closed Won,2024-05-21
50,1,2,9573.0,Qualified,2024-08-14
51,7,1,26586.0,Closed Lost,2024-01-19
52,6,2,26586.0,Proposal,2024-07-05
53,1,1,26586.0,Lead,2024-06-30
54,7,1,26586.0,Closed Won,2024-01-13
55,3,2,26586.0,Proposal,2024-03-22
56,2,1,26586.0,Qualified,2024-08-23
57,6,1,26586.0,Qualified,2024-07-23
58,6,1,19292.0,Closed Lost,2024-07-23
59,6,1,26586.0,Closed Lost,2024-05-15
60,1,3,29479.0,Proposal,2024-08-11
61,2,3,13457.0,Lead,2024-12-28
62,7,3,26586.0,Proposal,2024-08-08
63,2,3,26586.0,Proposal,2024-09-16
64,5,2,27371.0,Closed Lost,2024-03-06
65,4,3,26586.0,Closed Lost,2024-10-18
66,5,3,1026.0,Proposal,2024-04-17
67,7,2,29952.0,Qualified,2024-09-18
68,8,3,6557.0,Closed Lost,2024-12-05
69,6,1,45092.0,Qualified,2024-04-11
70,3,1,17046.0,Closed Lost,2024-02-07
71,8,3,26586.0,Closed Won,2024-09-10
72,7,1,26586.0,Lead,2024-08-05
73,4,3,34944.0,Lead,2024-10-12
74,4,2,9738.0,Closed Lost,2024-10-13
75,6,3,48138.0,Closed Lost,2024-08-16
76,3,2,26586.0,Proposal,2024-09-23
77,8,2,26586.0,Proposal,2024-04-30
78,5,2,26586.0,Qualified,2024-03-18
79,4,3,26586.0,Lead,2024-07-31
80,7,3,31534.0,Lead,2024-04-15
81,7,3,26586.0,Closed Lost,2024-07-13
82,8,2,20569.0,Closed Won,2024-10-02
83,4,1,18887.0,Closed Won,2024-01-15
84,7,3,45508.0,Qualified,2024-08-27
85,3,2,26586.0,Lead,2024-11-25
86,7,2,26586.0,Proposal,2024-07-13
87,6,2,22420.0,Closed Won,2024-05-22
88,7,1,26586.0,Closed Lost,2024-01-27
89,6,3,26586.0,Lead,2024-05-06
90,4,3,26586.0,Qualified,2024-08-30
91,2,2,46840.0,Proposal,2024-03-26
92,2,2,26586.0,Proposal,2024-10-21
93,7,3,26586.0,Closed Lost,2024-12-19
94,4,3,26586.0,Closed Lost,2024-01-22
95,6,3,26586.0,Closed Lost,2024-11-27
96,6,2,26586.0,Closed Won,2024-07-04
97,8,2,12543.0,Closed Lost,2024-10-02
98,8,2,48908.0,Proposal,2024-05-05
99,2,2,16981.0,Closed Lost,2024-11-08
100,7,1,33394.0,Qualified,2024-09-06
101,4,2,23304.0,Closed Lost,2024-12-25
102,5,3,26586.0,Qualified,2024-07-27
103,8,3,32201.0,Closed Won,2024-01-09
104,2,1,26586.0,Proposal,2024-12-05
105,6,3,35794.0,Closed Won,2024-10-08
106,6,3,30736.0,Proposal,2024-05-08
107,4,3,13621.0,Lead,2024-10-01
108,3,1,49405.0,Proposal,2024-10-28
109,5,1,26586.0,Proposal,2024-04-01
110,5,3,26586.0,Proposal,2024-01-24
111,1,3,9275.0,Lead,2024-01-07
112,5,2,29866.0,Qualified,2024-01-27
113,5,1,5282.0,Closed Won,2024-02-07
114,1,1,37886.0,Lead,2024-05-07
115,2,3,26586.0,Closed Lost,2024-07-13
116,8,2,39569.0,Proposal,2024-10-18
117,1,1,26586.0,Proposal,2024-12-04
118,2,1,26586.0,Qualified,2024-01-02
119,7,3,39916.0,Proposal,2024-01-17
120,4,3,19528.0,Lead,2024-12-17
121,4,3,26586.0,Closed Won,2024-02-28
122,4,2,26586.0,Lead,2024-03-25
123,5,2,9149.0,Proposal,2024-12-24
124,7,3,36388.0,Closed Won,2024-02-11
125,1,3,22123.0,Lead,2024-02-16
126,4,3,26586.0,Qualified,2024-08-28
127,8,1,39360.0,Closed Won,2024-02-16
128,8,2,22843.0,Lead,2024-03-23
129,6,3,33471.0,Closed Won,2024-10-08
130,1,1,21612.0,Proposal,2024-02-29
131,7,3,36559.0,Closed Won,2024-01-28
132,4,3,33669.0,Lead,2024-04-14
133,5,2,29712.0,Lead,2024-01-15
134,4,2,26586.0,Closed Lost,2024-07-27
135,2,1,26586.0,Qualified,2024-09-12
136,5,2,32621.0,Qualified,2024-08-21
137,3,1,26586.0,Lead,2024-05-21
138,7,3,26586.0,Proposal,2024-06-01
139,8,2,36296.0,Proposal,2024-06-19
140,7,2,26586.0,Closed Lost,2024-07-15
141,4,1,21852.0,Closed Won,2024-07-16
142,3,1,9273.0,Lead,2024-08-13
143,2,1,26586.0,Closed Won,2024-12-01
144,3,2,18368.0,Closed Lost,2024-12-20
145,7,2,45194.0,Proposal,2024-11-16
146,8,3,26586.0,Proposal,2024-04-26
147,2,1,26586.0,Closed Won,2024-03-26
148,5,1,26586.0,Proposal,2024-07-02
149,6,1,17003.0,Closed Lost,2024-12-15
150,3,1,6175.0,Closed Lost,2024-12-15
151,4,3,26586.0,Closed Won,2024-11-22
152,5,2,26586.0,Closed Won,2024-05-27
153,3,2,23646.0,Closed Won,2024-12-19
154,5,2,14055.0,Closed Won,2024-02-24
155,4,3,24524.0,Proposal,2024-01-12
156,7,1,26586.0,Closed Lost,2024-09-11
157,5,3,26586.0,Qualified,2024-11-13
158,5,3,26586.0,Proposal,2024-08-13
159,1,3,26586.0,Proposal,2024-06-16
160,7,1,9661.0,Closed Lost,2024-09-13
161,5,2,32578.0,Proposal,2024-02-28
162,8,1,15785.0,Closed Lost,2024-07-06
163,2,1,26586.0,Closed Won,2024-07-07
164,5,3,26586.0,Qualified,2024-08-29
165,1,3,26586.0,Closed Won,2024-12-24
166,5,1,26586.0,Lead,2024-06-04
167,8,1,26586.0,Closed Won,2024-08-20
168,6,3,26586.0,Closed Won,2024-12-01
169,2,3,27746.0,Lead,2024-12-19
170,6,2,26586.0,Proposal,2024-02-20
171,6,1,27092.0,Qualified,2024-03-03
172,8,3,26586.0,Lead,2024-06-19
173,4,3,26586.0,Closed Lost,2024-04-16
174,4,2,26586.0,Proposal,2024-03-15
175,3,1,26586.0,Qualified,2024-01-08
176,6,3,26586.0,Qualified,2024-05-15
177,1,3,26586.0,Lead,2024-08-31
178,8,3,26586.0,Closed Won,2024-09-14
179,4,3,44181.0,Closed Won,2024-11-25
180,1,2,27320.0,Lead,2024-09-08
181,8,1,26586.0,Lead,2024-03-05
182,5,2,40150.0,Closed Won,2024-09-15
183,7,3,26586.0,Closed Won,2024-08-19
184,4,2,30720.0,Closed Won,2024-02-18
185,6,2,44588.0,Proposal,2024-03-19
186,8,1,26586.0,Closed Won,2024-02-19
187,6,3,4930.0,Lead,2024-07-29
188,6,3,4371.0,Closed Lost,2024-06-08
189,6,3,26586.0,Qualified,2024-12-02
190,8,1,23945.0,Lead,2024-05-22
191,4,3,26586.0,Closed Lost,2024-12-02
192,5,1,18909.0,Proposal,2024-06-28
193,1,1,38114.0,Lead,2024-03-13
194,1,3,26586.0,Closed Won,2024-08-02
195,8,1,25251.0,Proposal,2024-10-17
196,2,1,26586.0,Lead,2024-05-19
197,8,2,40785.0,Closed Won,2024-05-19
198,4,2,26586.0,Proposal,2024-12-13
199,8,1,15451.0,Closed Lost,2024-01-29
200,1,2,26586.0,Proposal,2024-05-28
